#
# contig_name	read_name
#
minuta_c12	GO1G54I02GQ511
minuta_c12	GO1G54I02JFU9S
minuta_c12	GO1G54I02HNDH3
minuta_c12	GO1G54I02HVZM1
minuta_c12	GO1G54I02JD0BX
minuta_c12	GO1G54I02FGWCG
minuta_c12	GO1G54I02HQ7ER
minuta_c12	GO1G54I02IM02Z
minuta_c12	GO1G54I02I74T2
minuta_c12	GO1G54I02FTD3G
minuta_c12	GO1G54I02G9SJS
minuta_c12	GO1G54I02GSF31
minuta_c12	GO1G54I02JL6MB
minuta_c12	GO1G54I02G2UAG
minuta_c13	GO1G54I02GQGWA
minuta_c13	GO1G54I02FUSFL
minuta_c13	GO1G54I02JAH81
minuta_c13	GO1G54I02I1FWA
minuta_c13	GO1G54I02GM574
minuta_c13	GO1G54I02G6R82
minuta_c13	GO1G54I02HXVF6
minuta_c13	GO1G54I02IYFSN
minuta_c13	GO1G54I02GGYVJ
minuta_c13	GO1G54I02J5RP1
minuta_c13	GO1G54I02FYI4J
minuta_c13	GO1G54I02H4EOQ
minuta_c13	GO1G54I02II2TT
minuta_c13	GO1G54I02HKSPD
minuta_c13	GO1G54I02G8K9B
minuta_c13	GO1G54I02I2I14
minuta_c13	GO1G54I02H3LQG
minuta_c13	GO1G54I02HERFW
minuta_c13	GO1G54I02JOELJ
minuta_c13	GO1G54I02IM3YA
minuta_c13	GO1G54I02J0J8U
minuta_c13	GO1G54I02FLGQ5
minuta_c13	GO1G54I02G6ZT6
minuta_c13	GO1G54I02H2CLH
minuta_c13	GO1G54I02GGGJS
minuta_c13	GO1G54I02GLWOB
minuta_c13	GO1G54I02FOEZA
minuta_c13	GO1G54I02I69JJ
minuta_c13	GO1G54I02JEQUB
minuta_c14	GO1G54I02I4JSJ
minuta_c14	GO1G54I02JFLKY
minuta_c14	GO1G54I02FER0P
minuta_c14	GO1G54I02F7EIO
minuta_c14	GO1G54I02G2PAD
minuta_c14	GO1G54I02FDZV0
minuta_c14	GO1G54I02GA27U
minuta_c14	GO1G54I02HPKO0
minuta_c14	GO1G54I02FU2UF
minuta_c14	GO1G54I02GQ157
minuta_c14	GO1G54I02IXUQB
minuta_c14	GO1G54I02GF2EF
minuta_c14	GO1G54I02F9LPA
minuta_c14	GO1G54I02GA2JZ
minuta_c14	GO1G54I02JGT7E
minuta_c14	GO1G54I02IGGIQ
minuta_c14	GO1G54I02HD9MX
minuta_c14	GO1G54I02F0NFM
minuta_c14	GO1G54I02GTVE6
minuta_c14	GO1G54I02JMNPC
minuta_c14	GO1G54I02GDL0R
minuta_c14	GO1G54I02JZGJT
minuta_c14	GO1G54I02JVI43
minuta_c14	GO1G54I02GLA31
minuta_c14	GO1G54I02GXY22
minuta_c14	GO1G54I02IQRX8
minuta_c14	GO1G54I02I9UJO
minuta_c14	GO1G54I02HGHB3
minuta_c14	GO1G54I02HWSCT
minuta_c14	GO1G54I02ISRPM
minuta_c14	GO1G54I02IYVB9
minuta_c14	GO1G54I02HGYGV
minuta_c14	GO1G54I02HKKP2
minuta_c14	GO1G54I02H67ZL
minuta_c14	GO1G54I02HMK9X
minuta_c14	GO1G54I02H4ILZ
minuta_c14	GO1G54I02HX03C
minuta_c14	GO1G54I02IK993
minuta_c14	GO1G54I02ID002
minuta_c14	GO1G54I02H3XA5
minuta_c14	GO1G54I02GGC2U
minuta_c14	GO1G54I02FIWRG
minuta_c14	GO1G54I02GRMTN
minuta_c14	GO1G54I02GT9U5
minuta_c14	GO1G54I02HXTX7
minuta_c14	GO1G54I02G0F90
minuta_c14	GO1G54I02JR4UN
minuta_c14	GO1G54I02I28GY
minuta_c14	GO1G54I02G5I2R
minuta_c15	GO1G54I02GHUWM
minuta_c15	GO1G54I02INSAA
minuta_c15	GO1G54I02G0YCN
minuta_c15	GO1G54I02IONC6
minuta_c15	GO1G54I02GRB0J
minuta_c15	GO1G54I02IXSLQ
minuta_c15	GO1G54I02FLJS0
minuta_c15	GO1G54I02JVXDC
minuta_c15	GO1G54I02H87F0
minuta_c15	GO1G54I02IIL33
minuta_c15	GO1G54I02H6IAG
minuta_c15	GO1G54I02HSF7O
minuta_c15	GO1G54I02G4BU2
minuta_c15	GO1G54I02JSI2F
minuta_c15	GO1G54I02HZ17N
minuta_c15	GO1G54I02GXRFL
minuta_c15	GO1G54I02HBYVJ
minuta_c15	GO1G54I02G5ZBQ
minuta_c15	GO1G54I02FMZDR
minuta_c15	GO1G54I02IXCF4
minuta_c15	GO1G54I02IESS4
minuta_c15	GO1G54I02FTDGW
minuta_c15	GO1G54I02FXHIP
minuta_c15	GO1G54I02GS1EX
minuta_c15	GO1G54I02FEB7G
minuta_c15	GO1G54I02HD77B
minuta_c15	GO1G54I02FM93A
minuta_c15	GO1G54I02F3Y27
minuta_c15	GO1G54I02HXT34
minuta_c15	GO1G54I02G0TPF
minuta_c15	GO1G54I02FBIOL
minuta_c15	GO1G54I02JJDRF
minuta_c15	GO1G54I02FZ0SD
minuta_c15	GO1G54I02IHF8I
minuta_c15	GO1G54I02JDBTR
minuta_c15	GO1G54I02F4T2X
minuta_c15	GO1G54I02HPW06
minuta_c15	GO1G54I02GDZOL
minuta_c15	GO1G54I02ITZYL
minuta_c15	GO1G54I02ILYCX
minuta_c15	GO1G54I02GGMM6
minuta_c15	GO1G54I02JAKGM
minuta_c15	GO1G54I02GSXSV
minuta_c15	GO1G54I02HDI6X
minuta_c15	GO1G54I02HD2TP
minuta_c15	GO1G54I02FQRPE
minuta_c15	GO1G54I02GQMBH
minuta_c15	GO1G54I02JKJRV
minuta_c15	GO1G54I02GXVRE
minuta_c15	GO1G54I02GU2XD
minuta_c15	GO1G54I02FPZ7S
minuta_c15	GO1G54I02FEG4B
minuta_c15	GO1G54I02JQ69R
minuta_c16	GO1G54I02GR1D0
minuta_c16	GO1G54I02HZUTE
minuta_c16	GO1G54I02G4AWD
minuta_c16	GO1G54I02J373Z
minuta_c16	GO1G54I02IOI19
minuta_c16	GO1G54I02JBP5C
minuta_c16	GO1G54I02G6ILS
minuta_c16	GO1G54I02HYU73
minuta_c16	GO1G54I02F5ZZJ
minuta_c16	GO1G54I02G4FNC
minuta_c16	GO1G54I02I2X8V
minuta_c16	GO1G54I02H2X2O
minuta_c16	GO1G54I02FMXBI
minuta_c16	GO1G54I02FCYO2
minuta_c16	GO1G54I02FJS7O
minuta_c16	GO1G54I02IIP11
minuta_c16	GO1G54I02GHBT4
minuta_c16	GO1G54I02H4MZG
minuta_c16	GO1G54I02HKYTG
minuta_c16	GO1G54I02JZ920
minuta_c16	GO1G54I02G1INH
minuta_c16	GO1G54I02H9L8E
minuta_c16	GO1G54I02IP8PX
minuta_c16	GO1G54I02IB12M
minuta_c16	GO1G54I02GZP6Y
minuta_c16	GO1G54I02GWCF3
minuta_c16	GO1G54I02JU182
minuta_c16	GO1G54I02JMBS7
minuta_c16	GO1G54I02HVSCK
minuta_c16	GO1G54I02ILAFJ
minuta_c16	GO1G54I02JJ8ME
minuta_c17	GO1G54I02GB3UA
minuta_c17	GO1G54I02G0F06
minuta_c17	GO1G54I02GDXHS
minuta_c17	GO1G54I02FZLT1
minuta_c17	GO1G54I02GGBCU
minuta_c17	GO1G54I02IIZCG
minuta_c17	GO1G54I02HKM61
minuta_c17	GO1G54I02HH497
minuta_c17	GO1G54I02FWGZ3
minuta_c17	GO1G54I02FDKBL
minuta_c17	GO1G54I02J5CEV
minuta_c17	GO1G54I02IMXGK
minuta_c17	GO1G54I02F6UGI
minuta_c17	GO1G54I02HIU55
minuta_c17	GO1G54I02FGTWQ
minuta_c17	GO1G54I02JIOXU
minuta_c17	GO1G54I02FBIUS
minuta_c17	GO1G54I02FS456
minuta_c17	GO1G54I02JKEWC
minuta_c17	GO1G54I02F26S9
minuta_c18	GO1G54I02JU49K
minuta_c18	GO1G54I02HS285
minuta_c18	GO1G54I02IZNIZ
minuta_c18	GO1G54I02FZV3K
minuta_c18	GO1G54I02GMVIN
minuta_c18	GO1G54I02GLHZM
minuta_c18	GO1G54I02GMTTA
minuta_c18	GO1G54I02GJ6OD
minuta_c18	GO1G54I02HKB02
minuta_c18	GO1G54I02GZUHG
minuta_c18	GO1G54I02HNQ14
minuta_c18	GO1G54I02HLX2Q
minuta_c18	GO1G54I02GYMEO
minuta_c18	GO1G54I02JOWYA
minuta_c18	GO1G54I02GCLUQ
minuta_c18	GO1G54I02GWLFR
minuta_c18	GO1G54I02FL7BZ
minuta_c18	GO1G54I02GXJWC
minuta_c18	GO1G54I02G4BGL
minuta_c18	GO1G54I02GLMZ1
minuta_c18	GO1G54I02IAWOJ
minuta_c18	GO1G54I02IX3S2
minuta_c18	GO1G54I02FQV8O
minuta_c18	GO1G54I02J0OX9
minuta_c18	GO1G54I02IW3AF
minuta_c18	GO1G54I02FUAMS
minuta_c18	GO1G54I02G44W0
minuta_c18	GO1G54I02JTAZ3
minuta_c19	GO1G54I02FGLIU
minuta_c19	GO1G54I02IWQNM
minuta_c19	GO1G54I02GN1OO
minuta_c19	GO1G54I02FGQY3
minuta_c19	GO1G54I02HYJ9X
minuta_c19	GO1G54I02IKLGW
minuta_c19	GO1G54I02F1Y5E
minuta_c19	GO1G54I02F6IBR
minuta_c19	GO1G54I02FGJ7Y
minuta_c19	GO1G54I02GPHAF
minuta_c19	GO1G54I02JH9TG
minuta_c19	GO1G54I02I2QZ3
minuta_c19	GO1G54I02IPEBQ
minuta_c19	GO1G54I02FNHA2
minuta_c19	GO1G54I02G4ZRC
minuta_c19	GO1G54I02H8YPG
minuta_c19	GO1G54I02F6FZU
minuta_c19	GO1G54I02JCPMC
minuta_c19	GO1G54I02H7AJG
minuta_c19	GO1G54I02I6XGS
minuta_c19	GO1G54I02G8GYU
minuta_c19	GO1G54I02IH2T0
minuta_c20	GO1G54I02JN9KS
minuta_c20	GO1G54I02IRZU9
minuta_c20	GO1G54I02IDWL9
minuta_c20	GO1G54I02IRHBV
minuta_c20	GO1G54I02ICEUV
minuta_c20	GO1G54I02IPWQ2
minuta_c20	GO1G54I02IJLFG
minuta_c20	GO1G54I02FB1EA
minuta_c20	GO1G54I02FM3OQ
minuta_c20	GO1G54I02I6B6U
